Headline,Body ID,Detected Stance,Actual Stance
edu.arizona.cs.data.Headline@51272847,1466,unrelated,unrelated
edu.arizona.cs.data.Headline@39e49e83,1911,discuss,discuss
edu.arizona.cs.data.Headline@7acb2f32,1689,discuss,discuss
edu.arizona.cs.data.Headline@2d8cda47,225,unrelated,unrelated
edu.arizona.cs.data.Headline@4501baa1,22,unrelated,unrelated
edu.arizona.cs.data.Headline@588c2404,678,unrelated,unrelated
edu.arizona.cs.data.Headline@3088915e,346,unrelated,unrelated
edu.arizona.cs.data.Headline@7814f15c,1938,unrelated,unrelated
edu.arizona.cs.data.Headline@4101565e,1968,unrelated,unrelated
edu.arizona.cs.data.Headline@539a3514,1806,unrelated,unrelated
edu.arizona.cs.data.Headline@27ec4c58,2042,unrelated,unrelated
edu.arizona.cs.data.Headline@33d5cd05,886,unrelated,unrelated
edu.arizona.cs.data.Headline@31e57cfe,2130,unrelated,unrelated
edu.arizona.cs.data.Headline@62aae3fc,1602,discuss,discuss
edu.arizona.cs.data.Headline@7f0ab749,1083,unrelated,unrelated
edu.arizona.cs.data.Headline@659236da,1534,unrelated,unrelated
edu.arizona.cs.data.Headline@57fbb616,1103,unrelated,unrelated
edu.arizona.cs.data.Headline@7d61e35f,2288,unrelated,unrelated
edu.arizona.cs.data.Headline@33959d63,848,discuss,discuss
edu.arizona.cs.data.Headline@39d4c601,1642,unrelated,unrelated
edu.arizona.cs.data.Headline@4b9a399d,1545,unrelated,unrelated
edu.arizona.cs.data.Headline@6d707d0e,1288,discuss,discuss
edu.arizona.cs.data.Headline@5f752c6a,2360,unrelated,unrelated
edu.arizona.cs.data.Headline@4f6633ef,1180,unrelated,unrelated
edu.arizona.cs.data.Headline@1caca29a,1492,unrelated,unrelated
edu.arizona.cs.data.Headline@46994338,2116,unrelated,unrelated
edu.arizona.cs.data.Headline@381ee94f,209,unrelated,unrelated
edu.arizona.cs.data.Headline@41df34a4,470,unrelated,unrelated
edu.arizona.cs.data.Headline@38a69b19,1262,discuss,discuss
edu.arizona.cs.data.Headline@342a8fb6,1731,unrelated,unrelated
edu.arizona.cs.data.Headline@7b315ced,737,unrelated,unrelated
edu.arizona.cs.data.Headline@43732d3b,2508,unrelated,unrelated
edu.arizona.cs.data.Headline@4f81181f,1983,discuss,discuss
edu.arizona.cs.data.Headline@2f367966,225,unrelated,unrelated
edu.arizona.cs.data.Headline@5e918e59,365,unrelated,unrelated
edu.arizona.cs.data.Headline@5f366775,17,unrelated,unrelated
edu.arizona.cs.data.Headline@d87d98c,630,unrelated,unrelated
edu.arizona.cs.data.Headline@131911c4,2149,unrelated,unrelated
edu.arizona.cs.data.Headline@7e7d7664,1931,discuss,discuss
edu.arizona.cs.data.Headline@4758317e,2524,discuss,discuss
edu.arizona.cs.data.Headline@1c948f60,601,unrelated,unrelated
edu.arizona.cs.data.Headline@20d81837,962,unrelated,unrelated
edu.arizona.cs.data.Headline@180f6cc3,2349,unrelated,unrelated
edu.arizona.cs.data.Headline@382204e1,1529,discuss,discuss
edu.arizona.cs.data.Headline@11395239,499,unrelated,unrelated
edu.arizona.cs.data.Headline@156b861b,1689,unrelated,unrelated
edu.arizona.cs.data.Headline@22dca795,826,unrelated,unrelated
edu.arizona.cs.data.Headline@a71aa23,2321,unrelated,unrelated
edu.arizona.cs.data.Headline@518289ce,387,unrelated,unrelated
edu.arizona.cs.data.Headline@5fb76a33,447,unrelated,unrelated
edu.arizona.cs.data.Headline@1d99cd71,1545,unrelated,unrelated
edu.arizona.cs.data.Headline@1a0b537,1071,unrelated,unrelated
edu.arizona.cs.data.Headline@65a2b1c2,1175,unrelated,unrelated
edu.arizona.cs.data.Headline@3a77e471,1365,unrelated,unrelated
edu.arizona.cs.data.Headline@69d6440b,387,unrelated,unrelated
edu.arizona.cs.data.Headline@43fb0f63,1529,discuss,discuss
edu.arizona.cs.data.Headline@74ffb112,2034,discuss,discuss
edu.arizona.cs.data.Headline@5735838b,691,unrelated,unrelated
edu.arizona.cs.data.Headline@78ffea05,2114,unrelated,unrelated
edu.arizona.cs.data.Headline@11c8d722,267,unrelated,unrelated
edu.arizona.cs.data.Headline@16e0a8dc,1651,unrelated,unrelated
edu.arizona.cs.data.Headline@6d37aeb7,267,unrelated,unrelated
edu.arizona.cs.data.Headline@3a9105f4,883,discuss,discuss
edu.arizona.cs.data.Headline@2924ec32,1205,unrelated,unrelated
edu.arizona.cs.data.Headline@41e0fac5,1107,unrelated,unrelated
edu.arizona.cs.data.Headline@11f2a658,1097,unrelated,unrelated
edu.arizona.cs.data.Headline@23febf37,1458,unrelated,unrelated
edu.arizona.cs.data.Headline@2db59206,1466,discuss,discuss
edu.arizona.cs.data.Headline@6bc563a7,1890,discuss,discuss
edu.arizona.cs.data.Headline@6f81d8e1,1342,unrelated,unrelated
edu.arizona.cs.data.Headline@39d0d521,1660,unrelated,unrelated
edu.arizona.cs.data.Headline@38f455bf,664,unrelated,unrelated
edu.arizona.cs.data.Headline@260defb4,719,unrelated,unrelated
edu.arizona.cs.data.Headline@3cce1f67,2223,unrelated,unrelated
edu.arizona.cs.data.Headline@2236579a,2410,unrelated,unrelated
edu.arizona.cs.data.Headline@28c4a8b9,2481,discuss,discuss
edu.arizona.cs.data.Headline@643dafe1,1480,discuss,discuss
edu.arizona.cs.data.Headline@798c75e1,368,agree,agree
edu.arizona.cs.data.Headline@34d65d7b,2360,unrelated,unrelated
edu.arizona.cs.data.Headline@2e6f057d,513,unrelated,unrelated
edu.arizona.cs.data.Headline@782cc5e5,2362,unrelated,unrelated
edu.arizona.cs.data.Headline@7e97721e,1103,discuss,discuss
edu.arizona.cs.data.Headline@4e7f86fd,17,unrelated,unrelated
edu.arizona.cs.data.Headline@5062713a,1579,discuss,discuss
edu.arizona.cs.data.Headline@1301ff76,1003,unrelated,unrelated
edu.arizona.cs.data.Headline@6cf2d944,387,unrelated,unrelated
edu.arizona.cs.data.Headline@13aa10bc,48,unrelated,unrelated
edu.arizona.cs.data.Headline@6daef5e5,1586,unrelated,unrelated
edu.arizona.cs.data.Headline@3efae535,487,unrelated,unrelated
edu.arizona.cs.data.Headline@754e49c,2524,unrelated,unrelated
edu.arizona.cs.data.Headline@1dcf384e,2391,unrelated,unrelated
edu.arizona.cs.data.Headline@5182f86f,350,unrelated,unrelated
edu.arizona.cs.data.Headline@356ba759,190,unrelated,unrelated
edu.arizona.cs.data.Headline@6cebb5b6,2470,unrelated,unrelated
edu.arizona.cs.data.Headline@94a969c,1693,unrelated,unrelated
edu.arizona.cs.data.Headline@4fcd465a,2129,unrelated,unrelated
edu.arizona.cs.data.Headline@27f47195,2127,unrelated,unrelated
edu.arizona.cs.data.Headline@4ba0bce2,1678,unrelated,unrelated
edu.arizona.cs.data.Headline@6e7acc5a,1095,unrelated,unrelated
edu.arizona.cs.data.Headline@6a8670d9,2524,discuss,discuss
edu.arizona.cs.data.Headline@65bcbea7,1731,unrelated,unrelated
edu.arizona.cs.data.Headline@2b35595e,2360,unrelated,unrelated
edu.arizona.cs.data.Headline@1315487e,322,unrelated,unrelated
edu.arizona.cs.data.Headline@4a4ce27d,1818,discuss,discuss
edu.arizona.cs.data.Headline@4a853415,269,unrelated,unrelated
edu.arizona.cs.data.Headline@72148c1b,30,unrelated,unrelated
edu.arizona.cs.data.Headline@5fe6d72e,726,discuss,discuss
edu.arizona.cs.data.Headline@7ab49a4b,1253,unrelated,unrelated
edu.arizona.cs.data.Headline@13027d94,826,unrelated,unrelated
edu.arizona.cs.data.Headline@35c4a89d,1818,discuss,discuss
edu.arizona.cs.data.Headline@6bfc0aac,2525,unrelated,unrelated
edu.arizona.cs.data.Headline@6b12349a,1906,unrelated,unrelated
edu.arizona.cs.data.Headline@79778632,1120,unrelated,unrelated
edu.arizona.cs.data.Headline@69e749c1,1223,unrelated,unrelated
edu.arizona.cs.data.Headline@62c5873b,2042,unrelated,unrelated
edu.arizona.cs.data.Headline@5d0a9a28,1483,unrelated,unrelated
edu.arizona.cs.data.Headline@ef06909,1104,unrelated,unrelated
edu.arizona.cs.data.Headline@40c2dbb3,2206,discuss,discuss
edu.arizona.cs.data.Headline@16553397,684,unrelated,unrelated
edu.arizona.cs.data.Headline@1f0730af,1107,unrelated,unrelated
edu.arizona.cs.data.Headline@12b2ba67,1610,discuss,discuss
edu.arizona.cs.data.Headline@44fbf4c1,1127,unrelated,unrelated
edu.arizona.cs.data.Headline@7b8dae42,652,unrelated,unrelated
edu.arizona.cs.data.Headline@5acf9384,119,unrelated,unrelated
edu.arizona.cs.data.Headline@418929e0,68,unrelated,unrelated
edu.arizona.cs.data.Headline@5760702d,1003,unrelated,unrelated
edu.arizona.cs.data.Headline@410156de,1458,unrelated,unrelated
edu.arizona.cs.data.Headline@67f4bec9,2295,unrelated,unrelated
edu.arizona.cs.data.Headline@6fba4dfe,1459,unrelated,unrelated
edu.arizona.cs.data.Headline@3b8fb93c,862,discuss,discuss
edu.arizona.cs.data.Headline@7073bf35,1476,unrelated,unrelated
edu.arizona.cs.data.Headline@32335504,1157,unrelated,unrelated
edu.arizona.cs.data.Headline@f5b2b01,1820,unrelated,unrelated
edu.arizona.cs.data.Headline@49db358f,1689,unrelated,unrelated
edu.arizona.cs.data.Headline@c8f4b60,522,discuss,discuss
edu.arizona.cs.data.Headline@5a5a7ad3,1863,unrelated,unrelated
edu.arizona.cs.data.Headline@bccf38a,1003,unrelated,unrelated
edu.arizona.cs.data.Headline@7dee6dd8,1817,unrelated,unrelated
edu.arizona.cs.data.Headline@74eb1c54,2213,unrelated,unrelated
edu.arizona.cs.data.Headline@542cee08,225,unrelated,unrelated
edu.arizona.cs.data.Headline@381007a4,424,unrelated,unrelated
edu.arizona.cs.data.Headline@1a3b8ef8,808,unrelated,unrelated
edu.arizona.cs.data.Headline@29d47f19,532,unrelated,unrelated
edu.arizona.cs.data.Headline@11c160a0,696,unrelated,unrelated
edu.arizona.cs.data.Headline@56f627ee,1081,unrelated,unrelated
edu.arizona.cs.data.Headline@107c2f86,1678,unrelated,unrelated
edu.arizona.cs.data.Headline@1a5aa627,2303,discuss,discuss
edu.arizona.cs.data.Headline@672a8f15,91,unrelated,unrelated
edu.arizona.cs.data.Headline@165b8c69,630,unrelated,unrelated
edu.arizona.cs.data.Headline@597f6b1b,822,unrelated,unrelated
edu.arizona.cs.data.Headline@4a37e2e1,2130,unrelated,unrelated
edu.arizona.cs.data.Headline@224083aa,1476,unrelated,unrelated
edu.arizona.cs.data.Headline@6f9cd6cb,1398,discuss,discuss
edu.arizona.cs.data.Headline@329cb837,1693,discuss,discuss
edu.arizona.cs.data.Headline@14e7201d,1984,discuss,discuss
edu.arizona.cs.data.Headline@1d4496c4,2003,discuss,discuss
edu.arizona.cs.data.Headline@4f56dcd6,630,unrelated,unrelated
edu.arizona.cs.data.Headline@185c980b,269,unrelated,unrelated
edu.arizona.cs.data.Headline@3516a4d5,2303,discuss,discuss
edu.arizona.cs.data.Headline@cdde605,56,unrelated,unrelated
edu.arizona.cs.data.Headline@75143b24,2104,discuss,discuss
edu.arizona.cs.data.Headline@9f4694d,1579,discuss,discuss
edu.arizona.cs.data.Headline@6a4a6649,2210,unrelated,unrelated
edu.arizona.cs.data.Headline@144715b9,1656,unrelated,unrelated
edu.arizona.cs.data.Headline@3f0df29f,365,unrelated,unrelated
edu.arizona.cs.data.Headline@9137f74,1906,unrelated,unrelated
edu.arizona.cs.data.Headline@595afdc3,1120,unrelated,unrelated
edu.arizona.cs.data.Headline@3a6d598a,2127,unrelated,unrelated
edu.arizona.cs.data.Headline@5f041f25,1288,discuss,discuss
edu.arizona.cs.data.Headline@67934a51,1867,discuss,discuss
edu.arizona.cs.data.Headline@31cdbe81,1473,unrelated,unrelated
edu.arizona.cs.data.Headline@5430e26b,808,unrelated,unrelated
edu.arizona.cs.data.Headline@290cfb7e,487,unrelated,unrelated
edu.arizona.cs.data.Headline@3dec0eea,185,unrelated,unrelated
edu.arizona.cs.data.Headline@61898660,2092,unrelated,unrelated
edu.arizona.cs.data.Headline@32f91380,221,unrelated,unrelated
edu.arizona.cs.data.Headline@21a60392,1090,unrelated,unrelated
edu.arizona.cs.data.Headline@c313b40,1820,unrelated,unrelated
edu.arizona.cs.data.Headline@cf9e6b3,2022,unrelated,unrelated
edu.arizona.cs.data.Headline@1d52de2d,2116,unrelated,unrelated
edu.arizona.cs.data.Headline@1c74364a,1408,unrelated,unrelated
edu.arizona.cs.data.Headline@5ffb9709,2104,unrelated,unrelated
edu.arizona.cs.data.Headline@2c78ade6,1760,unrelated,unrelated
edu.arizona.cs.data.Headline@11830845,712,unrelated,unrelated
edu.arizona.cs.data.Headline@33ed7c5e,56,unrelated,unrelated
edu.arizona.cs.data.Headline@3a258b46,2092,unrelated,unrelated
edu.arizona.cs.data.Headline@345d642f,1521,unrelated,unrelated
edu.arizona.cs.data.Headline@71604f06,1298,discuss,discuss
edu.arizona.cs.data.Headline@3f5e1333,944,unrelated,unrelated
edu.arizona.cs.data.Headline@607d74eb,1311,unrelated,unrelated
edu.arizona.cs.data.Headline@13161f9d,414,unrelated,unrelated
edu.arizona.cs.data.Headline@4a1bf05,1087,unrelated,unrelated
edu.arizona.cs.data.Headline@63b109ee,513,unrelated,unrelated
edu.arizona.cs.data.Headline@6e554dc4,1311,unrelated,unrelated
edu.arizona.cs.data.Headline@257efaac,173,unrelated,unrelated
edu.arizona.cs.data.Headline@7d7f542,1069,unrelated,unrelated
edu.arizona.cs.data.Headline@62fe435d,2022,unrelated,unrelated
edu.arizona.cs.data.Headline@e12c73f,1339,unrelated,unrelated
edu.arizona.cs.data.Headline@5cebf7cb,2524,unrelated,unrelated
edu.arizona.cs.data.Headline@6fbfcaf0,516,unrelated,unrelated
edu.arizona.cs.data.Headline@7821321a,1459,unrelated,unrelated
edu.arizona.cs.data.Headline@7846037b,651,unrelated,unrelated
edu.arizona.cs.data.Headline@69bfaec9,17,unrelated,unrelated
edu.arizona.cs.data.Headline@187ff006,2508,unrelated,unrelated
edu.arizona.cs.data.Headline@52325096,56,unrelated,unrelated
edu.arizona.cs.data.Headline@29948548,2452,unrelated,unrelated
edu.arizona.cs.data.Headline@d749846,2200,discuss,discuss
edu.arizona.cs.data.Headline@54574bdb,206,unrelated,unrelated
edu.arizona.cs.data.Headline@260963e7,2196,unrelated,unrelated
edu.arizona.cs.data.Headline@f1679c8,2042,unrelated,unrelated
edu.arizona.cs.data.Headline@6171f262,2044,unrelated,unrelated
edu.arizona.cs.data.Headline@1ad849a4,663,unrelated,unrelated
edu.arizona.cs.data.Headline@77a30743,788,unrelated,unrelated
edu.arizona.cs.data.Headline@4b47e846,1938,unrelated,unrelated
edu.arizona.cs.data.Headline@25cbe1ae,601,unrelated,unrelated
edu.arizona.cs.data.Headline@7d8619da,227,unrelated,unrelated
edu.arizona.cs.data.Headline@12708036,726,unrelated,unrelated
edu.arizona.cs.data.Headline@5138969d,1802,unrelated,unrelated
edu.arizona.cs.data.Headline@475fddbc,377,unrelated,unrelated
edu.arizona.cs.data.Headline@2bcdd4ce,1673,unrelated,unrelated
edu.arizona.cs.data.Headline@4a3d7965,1000,unrelated,unrelated
edu.arizona.cs.data.Headline@36982eaf,2223,unrelated,unrelated
edu.arizona.cs.data.Headline@281c90c4,2129,unrelated,unrelated
edu.arizona.cs.data.Headline@5f062e3e,1253,discuss,discuss
edu.arizona.cs.data.Headline@41df3c78,2132,unrelated,unrelated
edu.arizona.cs.data.Headline@35a269d2,2213,unrelated,unrelated
