Headline,Body ID,Detected Stance,Actual Stance
edu.arizona.cs.data.Headline@45425a46,461,unrelated,agree
edu.arizona.cs.data.Headline@7b1d3298,1121,unrelated,discuss
edu.arizona.cs.data.Headline@78add7e8,645,unrelated,discuss
edu.arizona.cs.data.Headline@74ae6816,1860,unrelated,agree
edu.arizona.cs.data.Headline@627b1ca6,281,unrelated,discuss
edu.arizona.cs.data.Headline@9313ecf,702,discuss,agree
edu.arizona.cs.data.Headline@4b5db17f,1468,discuss,agree
edu.arizona.cs.data.Headline@54fbcb08,1334,unrelated,agree
edu.arizona.cs.data.Headline@4b00eb58,1331,unrelated,agree
edu.arizona.cs.data.Headline@77bce7ec,1656,unrelated,discuss
edu.arizona.cs.data.Headline@7d95c198,2399,unrelated,discuss
edu.arizona.cs.data.Headline@3183af59,712,unrelated,discuss
edu.arizona.cs.data.Headline@30f93f31,1202,unrelated,discuss
edu.arizona.cs.data.Headline@4d17a45,348,discuss,agree
edu.arizona.cs.data.Headline@43d7cb20,276,discuss,agree
edu.arizona.cs.data.Headline@28b992b,2124,discuss,unrelated
edu.arizona.cs.data.Headline@7f78cc91,1507,unrelated,discuss
edu.arizona.cs.data.Headline@20e1f192,1841,discuss,agree
edu.arizona.cs.data.Headline@33d69001,1430,unrelated,discuss
edu.arizona.cs.data.Headline@260d1e49,289,discuss,agree
edu.arizona.cs.data.Headline@1f5eb15b,2470,unrelated,discuss
edu.arizona.cs.data.Headline@516f0baf,1722,unrelated,discuss
edu.arizona.cs.data.Headline@3116b815,1590,discuss,agree
edu.arizona.cs.data.Headline@529ca380,686,discuss,disagree
edu.arizona.cs.data.Headline@189096bb,951,unrelated,discuss
edu.arizona.cs.data.Headline@5890f354,922,discuss,agree
edu.arizona.cs.data.Headline@6d5b5d0b,2504,discuss,agree
edu.arizona.cs.data.Headline@1d07ddc3,1518,discuss,agree
edu.arizona.cs.data.Headline@1856e67e,2448,unrelated,discuss
edu.arizona.cs.data.Headline@63e4726e,2386,unrelated,agree
edu.arizona.cs.data.Headline@6a9a3821,2069,discuss,agree
edu.arizona.cs.data.Headline@5657df6c,1027,unrelated,disagree
edu.arizona.cs.data.Headline@78ecd15d,2327,unrelated,discuss
edu.arizona.cs.data.Headline@19cb5871,497,discuss,agree
edu.arizona.cs.data.Headline@61fd8b7d,2474,unrelated,agree
edu.arizona.cs.data.Headline@7427ae7b,398,discuss,agree
edu.arizona.cs.data.Headline@74808b09,2207,unrelated,discuss
edu.arizona.cs.data.Headline@7d4b60df,1841,discuss,agree
edu.arizona.cs.data.Headline@5ec70b7a,2154,unrelated,discuss
